Global Statistics
Total number of particles:,5501
Surface Coverage (%):,34.37
Total grain area (µm²):,133844.25
Mean grain area (µm²):,24.33
Particle density (particles/µm²):,0.014128

Size Distribution Statistics
Mean area (µm²):,24.33
Median area (µm²):,20.25
Standard deviation of area (µm²):,15.81
Mean perimeter (µm):,19.93
Median perimeter (µm):,17.81
Standard deviation of perimeter (µm):,8.77

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
408,49.5,15.88,-54.33,25.78,10.48,32.59
409,49.5,15.88,-52.4,18.4,14.69,30.68
410,49.5,15.88,80.8,26.17,11.74,37.16
411,49.5,15.88,-31.87,24.7,11.09,31.8
412,49.5,15.88,-85.63,26.53,11.19,34.8
413,49.5,15.88,-52.7,23.62,12.0,33.56
414,49.25,15.84,57.4,27.31,10.44,36.02
415,49.25,15.84,4.31,22.21,12.09,31.92
416,49.25,15.84,4.05,26.16,10.66,33.88
417,49.25,15.84,13.1,19.59,17.36,35.54
418,49.25,15.84,-71.08,32.09,8.78,38.83
419,49.25,15.84,6.23,17.38,15.45,30.21
420,49.0,15.8,6.39,18.41,13.97,28.76
421,49.0,15.8,5.41,28.18,9.69,38.08
422,49.0,15.8,30.53,24.67,12.45,34.92
423,49.0,15.8,-69.53,24.19,11.44,32.51
424,49.0,15.8,-81.11,21.24,12.27,31.09
425,49.0,15.8,21.53,24.15,13.05,36.11
426,48.75,15.76,-5.45,30.96,9.52,39.25
427,48.75,15.76,-53.44,27.75,10.62,35.61
428,48.75,15.76,44.9,22.04,12.94,33.92
429,48.75,15.76,-39.26,20.67,12.55,29.68
430,48.75,15.76,36.87,21.45,15.06,36.04
431,48.75,15.76,-71.89,24.34,11.35,31.68
432,48.75,15.76,47.81,23.32,11.85,32.8
433,48.5,15.72,11.48,21.97,12.58,32.92
434,48.5,15.72,-48.72,20.67,15.22,33.16
435,48.5,15.72,1.03,30.88,13.19,41.75
436,48.5,15.72,1.6,23.26,11.31,33.33
437,48.5,15.72,-82.1,25.09,10.64,32.09
438,48.5,15.72,16.57,25.2,11.93,34.83
439,48.25,15.68,-52.78,23.22,14.41,36.52
440,48.25,15.68,-15.39,23.18,11.42,31.71
441,48.25,15.68,33.88,17.83,16.7,33.63
442,48.25,15.68,-30.58,18.99,13.9,30.78
443,48.25,15.68,51.54,22.97,11.11,30.9
444,48.25,15.68,79.12,22.47,12.31,33.01
445,48.25,15.68,67.29,26.0,11.25,36.13
446,48.25,15.68,49.43,20.66,13.77,31.83
447,48.0,15.64,-12.43,24.31,10.64,31.8
448,48.0,15.64,-1.61,20.75,13.79,34.38
449,48.0,15.64,81.8,25.18,11.17,34.92
450,48.0,15.64,-69.53,29.21,10.08,39.61
451,48.0,15.64,-19.03,18.37,13.9,30.06
452,47.75,15.59,-41.41,26.18,10.22,33.52
453,47.75,15.59,30.37,24.25,11.49,33.42
454,47.75,15.59,-55.06,20.94,12.23,29.38
455,47.75,15.59,9.05,19.43,13.98,31.38
456,47.75,15.59,78.83,32.8,8.37,38.33
457,47.75,15.59,17.34,27.63,10.16,36.75
458,47.75,15.59,72.52,28.37,9.59,34.33
459,47.75,15.59,30.5,25.01,12.04,34.51
460,47.5,15.55,52.86,22.34,11.77,31.3
461,47.5,15.55,-55.17,25.94,10.76,32.8
462,47.5,15.55,72.7,22.63,11.1,29.68
463,47.5,15.55,-85.13,21.25,12.56,33.54
464,47.5,15.55,-75.05,25.1,10.32,32.09
465,47.5,15.55,-37.15,26.24,10.22,33.83
466,47.5,15.55,-17.71,17.06,14.97,29.9
467,47.5,15.55,-84.69,30.97,8.37,39.75
468,47.25,15.51,14.39,17.32,14.4,28.97
469,47.25,15.51,-39.02,22.44,11.44,30.47
470,47.25,15.51,-43.82,23.47,10.89,31.4
471,47.25,15.51,36.15,23.23,15.78,39.46
472,47.25,15.51,15.96,21.85,11.34,30.59
473,47.25,15.51,31.37,23.63,13.22,36.63
474,47.0,15.47,70.55,23.23,11.35,32.83
475,47.0,15.47,42.62,22.52,12.58,35.02
476,47.0,15.47,-80.49,20.88,13.98,32.21
477,47.0,15.47,85.84,18.49,16.03,33.42
478,47.0,15.47,84.2,23.6,11.2,33.21
479,46.75,15.43,76.55,24.04,10.73,31.45
480,46.75,15.43,-63.98,17.94,13.86,28.68
481,46.75,15.43,-43.58,22.26,11.17,28.8
